Date,BA,GE,MMM,HON
1999-12-31,27.576940999999998,28.514868,28.887333,37.343185
2000-01-03,26.745062,27.639612,27.854319,36.695847
2000-01-04,26.703468,26.534036999999998,26.74752,36.048522999999996
2000-01-05,28.367246999999995,26.487955,27.522274,35.563007
2000-01-06,28.658394,26.842087,29.735863000000002,36.250805
2000-01-07,29.49029,27.881453999999998,30.326138,38.192822
2000-01-10,29.074322,27.869944,30.178583000000003,38.395111
2000-01-11,28.533613,27.916014,29.662079,38.1119
2000-01-12,28.658394,28.008142,29.735863000000002,38.476036
2000-01-13,28.200859,28.330612,29.735863000000002,38.759246999999995
2000-01-14,29.282312,27.823890999999996,29.311596,38.759246999999995
2000-01-18,29.947810999999998,27.271088,28.665977,38.192822
2000-01-19,31.694771000000003,27.403507,29.164032000000002,35.11797
2000-01-20,30.946064,26.891033,28.075671999999997,34.227882
2000-01-21,30.405344,26.557068,28.020338,33.216419
2000-01-24,29.49029,25.451477,27.374701,30.910294
2000-01-25,30.405344,25.520588,26.968884000000003,30.788918
2000-01-26,30.738115000000004,26.061852,28.426168,30.829378000000002
2000-01-27,29.989404999999998,26.119442000000003,28.407705,29.939283000000003
2000-01-28,29.698248,24.691392999999998,27.227116,29.251478000000002
2000-01-31,29.615057,24.691392999999998,27.632956,31.072128000000003
2000-02-01,29.115928999999998,25.059921,27.780518,30.748447
2000-02-02,29.698248,24.702906,27.300921999999996,31.233952000000002
2000-02-03,28.907942,25.658791,27.061115,30.748447
2000-02-04,29.282312,26.084887,26.286356,30.667536
2000-02-07,27.826517,25.152048,25.862074,29.130114000000003
2000-02-08,27.285792999999998,25.255697,25.880523999999998,29.291943
2000-02-09,26.043699,24.702906,25.862074,28.320953000000003
2000-02-10,26.54454,24.956274,25.382479,27.997269
2000-02-11,26.628025,24.645317000000002,24.47859,27.349932
2000-02-14,25.542842999999998,24.760481,24.460144,27.59269
2000-02-15,25.70981,25.336306,26.304815,29.979747999999997
2000-02-16,24.875071,24.996569,26.064997,29.167913000000002
2000-02-17,25.042021,24.138601,26.452384999999996,30.183496
2000-02-18,24.040333,23.056042,25.843637,28.802311
2000-02-22,25.96023,23.885241,26.599958,30.711634000000004
2000-02-23,24.791616,24.046460999999997,27.600838,29.371042
2000-02-24,24.415974,24.138601,27.208401000000002,29.736641
2000-02-25,25.25071,23.240318,25.638681,30.264759
2000-02-28,24.70813,23.850680999999998,25.84424,31.199115999999997
2000-02-29,24.666403,24.39196,26.367477,31.28035
2000-03-01,24.249014000000003,24.207705999999998,25.750811,31.28035
2000-03-02,23.998598,24.921715,25.732122,29.817885999999998
2000-03-03,23.998598,25.681812,26.759903,29.57416
2000-03-06,23.456034,25.550341,26.087175,28.802311
2000-03-07,23.205605,24.156059,24.741707,27.177332
2000-03-08,22.287403,24.225773,24.685637,27.746086
2000-03-09,22.537819,23.981764000000002,24.199787,28.599173999999998
2000-03-10,21.619614000000002,24.481379999999998,24.367967999999998,29.492908
2000-03-13,21.786562,24.063097,23.620483,29.00543
2000-03-14,22.078716,23.609953,23.657852,29.249171999999998
2000-03-15,23.28908,24.829954,24.666952,29.858519
2000-03-16,23.789921,25.840815,26.330103,32.336582
2000-03-17,25.375920999999998,26.003479000000002,25.676064999999998,30.467879999999997
2000-03-20,24.70813,26.201014,26.01243,30.874122999999997
2000-03-21,24.415974,27.978724,27.040221999999996,32.499058000000005
2000-03-22,24.207293,28.048429,25.713421,30.06164
2000-03-23,23.456034,29.74482,26.01243,30.06164
2000-03-24,24.040333,29.570538,27.171038,32.255322
2000-03-27,24.791616,29.36141,26.498295000000002,31.199115999999997
2000-03-28,25.375920999999998,29.0012,26.573029,30.427259000000003
2000-03-29,25.292442,30.302529999999997,26.199297,31.849075
2000-03-30,25.793282,29.512453000000004,26.610418,33.474052
2000-03-31,25.25071,28.931482,26.479595,34.245888
2000-04-03,24.833345,29.930729,27.470021999999997,35.342724
2000-04-04,24.916817,28.629385,27.787695000000003,34.936504
2000-04-05,24.082085,28.501585,27.245779,34.286522
2000-04-06,24.12381,29.163874,27.918509000000004,33.880287
2000-04-07,23.831654,29.524054,27.395269,33.555302000000005
2000-04-10,23.414284,29.640259000000004,27.731641999999997,34.774002
2000-04-11,23.831654,30.046919,28.535190999999998,36.439583
2000-04-12,25.125496,29.140627000000002,28.292259,34.367771000000005
2000-04-13,24.70813,27.978724,28.329629999999998,36.033344
2000-04-14,23.622971,27.095684000000002,27.152341999999997,35.180240999999995
2000-04-17,23.581235999999997,28.257579999999997,26.872026,35.748978
2000-04-18,23.205605,29.09416,26.872026,34.936504
2000-04-19,24.875071,28.908258,27.040221999999996,35.30212
2000-04-20,26.753221999999997,29.465963000000002,27.582155,37.048927
2000-04-24,25.292442,30.128241999999997,29.114496000000003,36.561465999999996
2000-04-25,26.043699,30.86025,28.049328000000003,37.577042
2000-04-26,26.669758,30.349012,26.591734000000002,36.19585
2000-04-27,26.586273,30.02368,26.143245999999998,35.95211
2000-04-28,26.502810999999998,29.233582000000002,25.900305,36.398967999999996
2000-05-01,26.085449,29.628628000000003,25.993744,36.073959
2000-05-02,25.334175,29.942348,25.993744,35.09901
2000-05-03,24.916817,29.012819,25.657373,35.220875
2000-05-04,25.501123,28.629385,25.545248,34.611504
2000-05-05,26.3776,29.373009000000003,25.918986999999998,35.30212
2000-05-08,25.542842999999998,29.245203000000004,26.105871,35.30212
2000-05-09,25.584595,29.070909999999998,25.713421,35.09901
2000-05-10,24.714979,28.234346000000002,25.694742,34.977119
2000-05-11,25.008198,28.40863,25.694742,34.855247
